'01/13/2013',232
'05/24/2013',173
'05/24/2015',878
'12/02/2014',246
'12/02/2013',178
'09/10/2015',255
'09/10/2013',308
'07/05/2015',765
'08/10/2015',428
'08/10/2010',178
'07/05/2013',244
'08/10/2013',509
'02/07/2016',375
'12/01/2012',222
'02/07/2015',331
'02/07/2010',125
'12/01/2014',273
'01/14/2011',93
'01/14/2012',200
'07/13/2013',415
'02/06/2014',113
'02/06/2011',98
'02/06/2012',133
'05/21/2014',501
'05/21/2011',439
'05/21/2012',230
'06/17/2013',320
'09/27/2013',366
'04/11/2015',596
'06/17/2010',237
'10/29/2012',46
'06/17/2015',438
'10/04/2013',361
'08/31/2013',481
'01/31/2015',279
'08/28/2011',41
'01/31/2010',137
'01/31/2013',184
'01/16/2015',279
'09/27/2010',187
'01/16/2012',133
'05/22/2015',538
'05/22/2010',475
'08/18/2013',458
'05/22/2013',357
'12/21/2010',104
'02/23/2011',103
'02/23/2014',282
'10/27/2012',482
'12/25/2010',64
'07/06/2011',166
'11/01/2010',106
'11/01/2013',326
'06/29/2010',133
'03/05/2014',181
'06/01/2010',195
'04/24/2011',205
'10/10/2014',459
'10/10/2011',336
'04/21/2011',181
'03/07/2014',246
'03/07/2011',110
'02/14/2010',122
'01/23/2013',126
'06/08/2011',211
'10/11/2010',233
'07/01/2010',237
'12/04/2012',163
'09/20/2011',260
'07/01/2015',556
'12/04/2015',365
'09/28/2012',299
'08/16/2013',474
'09/02/2015',426
'09/02/2010',182
'06/25/2013',234
'06/25/2015',561
'06/03/2014',434
'06/03/2013',151
'12/15/2012',265
'07/03/2014',206
'12/15/2014',273
'10/06/2011',268
'09/04/2012',167
'11/12/2013',146
'10/06/2014',337
'09/04/2015',508
'04/07/2011',176
'06/16/2011',324
'06/20/2014',575
'06/20/2011',274
'06/20/2012',250
'03/04/2013',125
'03/04/2016',254
'03/27/2010',207
'03/04/2015',235
'06/04/2014',444
'06/04/2011',381
'01/02/2015',191
'04/14/2011',251
'10/02/2014',422
'10/02/2012',201
'01/29/2011',117
'03/25/2013',124
'01/29/2012',209
'11/10/2010',180
'02/09/2011',90
'09/07/2011',141
'10/05/2013',539
'09/07/2012',256
'05/12/2013',379
'10/05/2014',558
'05/12/2010',137
'01/02/2016',326
'10/09/2014',364
'11/10/2015',327
'10/09/2011',425
'04/20/2011',184
'01/02/2010',96
'10/09/2012',173
'01/13/2010',112
'08/05/2014',398
'07/23/2013',168
'11/13/2012',119
'11/02/2013',514
'11/02/2014',350
'01/01/2014',151
'10/15/2014',366
'08/01/2015',756
'09/03/2013',266
'08/01/2010',253
'09/08/2011',230
'05/29/2010',400
'04/25/2015',645
'08/12/2011',407
'04/25/2010',160
'04/25/2013',253
'07/21/2013',352
'03/29/2014',379
'03/29/2011',103
'06/01/2013',507
'11/18/2012',173
'11/18/2011',211
'06/24/2013',262
'06/24/2014',454
'07/08/2012',291
'01/24/2014',132
'07/08/2011',177
'01/24/2013',145
'07/08/2014',277
'01/01/2012',182
'01/25/2015',315
'01/25/2016',163
'01/25/2013',159
'10/25/2013',234
'08/06/2014',369
'08/06/2011',433
'12/08/2012',255
'02/01/2011',102
'02/01/2014',370
'07/18/2012',138
'10/25/2010',232
'03/10/2013',273
'07/18/2014',491
'10/21/2014',364
'04/19/2011',167
'11/04/2013',178
'06/27/2011',263
'11/04/2010',154
'06/27/2014',520
'12/13/2012',189
'11/04/2015',481
'11/15/2010',189
'04/26/2010',124
'11/16/2010',158
'06/19/2013',343
'11/16/2013',425
'06/19/2014',348
'01/04/2016',230
'01/21/2010',129
'01/07/2015',193
'05/25/2015',964
'06/21/2014',957
'06/21/2013',511
'12/22/2011',180
'12/22/2014',248
'08/23/2013',348
'08/07/2011',262
'08/07/2014',396
'07/19/2012',260
'06/22/2012',206
'09/16/2015',490
'10/18/2013',393
'07/31/2013',294
'06/22/2014',812
'11/24/2014',324
'01/15/2016',333
'01/15/2015',211
'03/06/2011',149
'03/06/2014',194
'01/12/2012',150
'08/20/2012',277
'10/08/2014',410
'10/08/2013',296
'03/31/2010',167
'08/20/2014',399
'08/18/2010',168
'12/30/2012',162
'09/09/2012',317
'10/22/2010',181
'01/21/2016',233
'09/09/2014',361
'04/28/2014',310
'04/28/2011',218
'11/05/2011',277
'05/23/2011',203
'03/02/2015',166
'05/15/2014',290
'03/02/2010',114
'05/15/2013',249
'03/02/2013',212
'11/27/2011',247
'05/02/2012',178
'08/02/2011',250
'05/02/2011',216
'07/20/2011',187
'05/02/2014',483
'12/09/2012',170
'02/10/2012',167
'03/09/2010',143
'12/09/2014',217
'05/26/2010',298
'09/15/2013',468
'09/30/2011',274
'05/26/2013',352
'09/15/2015',494
'07/12/2013',224
'10/15/2012',164
'02/02/2011',77
'02/13/2011',134
'02/02/2012',172
'02/13/2016',348
'03/15/2015',364
'11/20/2013',188
'07/21/2010',149
'03/15/2010',111
'11/20/2014',287
'03/15/2013',227
'05/01/2012',261
'07/03/2011',285
'07/21/2015',316
'07/19/2014',835
'05/07/2010',255
'02/10/2011',104
'12/12/2013',194
'12/11/2014',244
'12/11/2013',171
'02/18/2014',173
'02/18/2013',127
'07/12/2015',823
'08/03/2015',332
'11/22/2014',449
'08/03/2010',260
'11/22/2011',134
'08/03/2013',518
'07/23/2015',535
'06/10/2013',218
'12/12/2010',165
'12/21/2015',249
'05/04/2011',190
'12/12/2015',923
'06/10/2015',596
'05/28/2012',490
'05/28/2011',349
'11/08/2013',266
'05/17/2011',180
'11/03/2015',514
'07/28/2014',324
'03/05/2013',130
'07/28/2012',363
'11/08/2010',125
'01/05/2014',177
'04/02/2013',125
'11/03/2013',331
'08/30/2013',379
'07/09/2013',165
'12/19/2015',446
'03/21/2013',184
'07/09/2014',275
'12/19/2010',168
'08/30/2015',730
'02/04/2012',247
'11/17/2011',212
'02/04/2014',142
'04/23/2012',137
'04/23/2011',136
'10/29/2015',441
'04/23/2014',284
'02/16/2010',99
'02/16/2013',217
'02/16/2016',285
'04/11/2012',202
'07/11/2015',909
'07/11/2010',243
'07/11/2013',225
'01/22/2012',185
'10/26/2012',356
'01/22/2015',218
'10/26/2011',248
'09/23/2014',357
'09/23/2011',384
'03/18/2015',258
'03/18/2012',325
'12/27/2011',87
'02/24/2010',97
'12/26/2010',38
'04/18/2012',252
'10/20/2015',472
'07/16/2011',454
'12/17/2011',252
'07/16/2012',158
'12/17/2014',316
'06/15/2010',326
'01/19/2011',103
'03/08/2014',355
'03/08/2013',149
'12/08/2014',296
'09/11/2015',507
'09/11/2010',395
'04/02/2010',255
'04/13/2012',321
'03/22/2012',368
'03/22/2011',129
'03/22/2014',420
'12/03/2015',396
'07/14/2015',386
'07/14/2012',392
'12/03/2013',218
'10/19/2010',200
'09/17/2011',552
'10/19/2013',500
'09/17/2014',430
'11/29/2015',368
'06/30/2011',266
'08/09/2014',806
'08/09/2013',211
'02/27/2014',189
'04/17/2010',217
'02/27/2012',136
'10/23/2011',336
'12/24/2012',112
'10/23/2012',249
'10/13/2012',299
'01/09/2011',111
'10/13/2011',192
'01/09/2016',516
'10/13/2014',341
'12/24/2011',155
'06/18/2012',293
'06/18/2011',384
'06/18/2014',343
'01/28/2012',259
'02/20/2013',156
'01/28/2011',89
'02/20/2014',152
'01/28/2014',160
'09/13/2014',564
'12/28/2010',20
'03/21/2010',272
'12/23/2013',156
'09/13/2012',355
'12/23/2010',112
'05/25/2010',302
'06/01/2015',269
'09/14/2013',474
'05/27/2013',551
'09/14/2014',656
'05/27/2010',226
'10/16/2015',572
'09/18/2014',494
'01/11/2014',238
'09/18/2011',483
'01/11/2013',125
'10/16/2013',326
'09/18/2012',138
'02/05/2014',120
'12/20/2010',109
'02/05/2012',234
'02/22/2016',360
'04/08/2013',257
'02/22/2013',166
'02/22/2010',84
'08/18/2015',354
'07/26/2010',176
'01/21/2015',256
'01/12/2014',277
'12/07/2011',212
'09/26/2015',1079
'02/08/2015',319
'12/07/2012',175
'09/26/2010',376
'02/08/2012',173
'09/26/2013',348
'02/03/2010',104
'10/03/2012',261
'09/01/2011',409
'10/03/2014',473
'03/10/2010',152
'03/11/2011',154
'12/26/2015',324
'06/11/2013',264
'01/19/2012',151
'06/11/2014',414
'12/26/2013',91
'04/13/2011',135
'12/05/2015',655
'04/19/2014',451
'12/05/2012',177
'06/02/2010',185
'11/30/2011',160
'11/30/2014',346
'10/21/2011',274
'05/03/2013',309
'05/03/2014',640
'03/28/2010',130
'06/29/2015',587
'06/09/2011',122
'03/26/2014',223
'08/31/2014',555
'03/26/2013',156
'07/04/2015',805
'07/04/2010',182
'04/22/2013',213
'04/22/2014',314
'01/27/2013',186
'10/12/2010',224
'11/21/2010',188
'01/27/2010',127
'10/12/2015',486
'04/10/2015',378
'01/27/2015',82
'03/20/2010',384
'10/28/2012',190
'07/07/2011',257
'03/20/2013',162
'08/29/2014',475
'01/17/2012',138
'01/17/2015',293
'08/29/2012',276
'04/16/2015',501
'04/16/2010',158
'01/08/2015',192
'01/08/2010',117
'01/08/2013',132
'08/17/2011',344
'08/17/2012',315
'11/13/2014',279
'04/15/2012',518
'04/15/2014',232
'01/03/2015',325
'01/04/2010',73
'01/03/2016',343
'11/11/2013',205
'03/19/2011',203
'03/19/2014',219
'05/05/2012',418
'01/04/2013',123
'05/18/2012',443
'05/05/2014',334
'06/12/2012',205
'06/12/2015',511
'09/19/2014',511
'10/28/2015',303
'10/17/2012',272
'09/19/2013',192
'10/17/2011',221
'03/23/2010',119
'02/11/2012',224
'03/23/2015',217
'04/10/2012',185
'03/13/2013',182
'03/13/2015',321
'06/28/2015',700
'10/31/2013',339
'11/28/2013',113
'11/28/2014',178
'06/28/2013',241
'10/31/2015',709
'11/19/2014',228
'11/19/2011',335
'08/14/2012',254
'11/19/2012',148
'07/02/2010',240
'07/02/2013',179
'01/23/2016',184
'05/20/2014',473
'04/21/2014',286
'05/20/2013',293
'01/23/2010',170
'11/12/2015',393
'11/12/2010',204
'08/13/2010',288
'08/16/2015',681
'05/11/2010',208
'03/25/2010',185
'03/16/2014',396
'03/16/2011',146
'03/16/2012',206
'09/03/2015',357
'09/28/2011',222
'08/24/2013',671
'10/01/2010',212
'09/28/2014',614
'08/24/2010',225
'07/17/2013',227
'09/05/2014',389
'07/17/2015',613
'12/15/2011',209
'08/22/2010',187
'01/07/2010',111
'11/15/2015',517
'07/22/2010',176
'01/07/2016',272
'03/03/2011',122
'03/03/2016',314
'04/03/2011',176
'05/14/2014',390
'05/14/2011',358
'01/06/2010',96
'05/14/2012',334
'06/26/2013',252
'06/26/2010',342
'07/27/2011',219
'09/21/2015',472
'01/26/2016',231
'07/27/2012',204
'01/26/2011',79
'11/17/2014',216
'01/05/2011',135
'06/07/2012',353
'06/07/2011',269
'07/30/2010',241
'06/07/2014',867
'01/20/2012',156
'01/20/2011',149
'10/20/2012',453
'01/20/2014',228
'05/09/2015',926
'05/09/2012',223
'04/18/2015',1022
'08/27/2012',208
'08/27/2011',82
'07/31/2014',398
'08/27/2014',336
'02/21/2012',180
'03/12/2013',152
'02/21/2011',115
'03/12/2014',272
'02/21/2014',248
'09/16/2012',467
'10/18/2010',166
'10/24/2011',194
'05/30/2015',986
'05/30/2012',250
'02/11/2014',151
'05/08/2010',274
'05/08/2013',221
'02/11/2011',122
'06/14/2014',739
'06/14/2013',288
'12/06/2013',223
'03/11/2014',326
'12/06/2015',526
'12/30/2014',214
'08/19/2013',282
'08/19/2010',239
'08/19/2015',367
'07/24/2010',246
'07/24/2013',224
'11/09/2010',197
'03/17/2014',230
'03/17/2013',245
'05/31/2010',421
'04/01/2013',171
'05/31/2013',366
'04/01/2015',366
'03/14/2013',155
'04/27/2014',427
'03/14/2010',73
'04/27/2013',448
'03/14/2015',393
'12/10/2010',163
'06/13/2014',344
'02/19/2010',147
'06/13/2011',237
'06/23/2011',189
'11/14/2010',231
'11/11/2015',361
'02/12/2016',325
'02/12/2011',158
'10/30/2011',180
'05/01/2015',552
